Timestamp,Name,Registration Number,Gender,Batch,Area or Locality Near College,Type of Accommodation,Latitude (Accommodation),Longitude (Accommodation),Pincode,Commute Mode(s),How long is your commute,Do you usually travel alone or with others?,When Do You Leave for College?,When Do You Return Home?,Days of the Week You Commute,Have You Experienced Any Safety Incidents?,How many incidents have you experienced?,Where Did the Incident Happen?,Latitude (Incident),Longitude (Incident),Describe the incident,At which date the incident happen?,At what time the incident happen?,Was there any emergency support available?,Was the area had well lighting?,Were there any witnesses or bystanders present?,How Safe Do You Feel in Your Accommodation?,How Safe Do You Feel During Your Commute?,How likely are you to report an incident?,Do you feel informed about crime prevention strategies?,Do you know how to report safety concerns?,Confidence in staying safe,Has Incident
09:36.5,Lavanya Sha,2023BTech653,Female,2025,Sehore,PG,23.290051,77.226018,462030,"['Scooty', 'Bike', 'Private Bus']",30–45 mins,Alone,10:05 AM,1:10 PM,"['Monday', 'Tuesday', 'Saturday']",Yes,3,"25, Parsa Ganj, Patiala-198760",23.018281,77.210644,Nemo cum quia.,19-06-2024,14:51:28,Yes,No,Yes,1,1,1,No,No,3,1
14:40.6,Pushti Singhal,2024BTech906,Female,2024,Sehore,PG,23.431489,77.341318,462030,"['Private Bus', 'Personal Car']",30–45 mins,With friends,11:40 AM,2:45 PM,"['Friday', 'Monday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,No,Yes,No,1,5,2,Not Sure,No,2,1
35:59.8,Anvi Kala,2024BTech150,Male,2023,Kotri,Hostel,23.068112,77.00152,462030,"['Walking', 'Personal Car']",45 mins–1 hour,Alone,4:25 PM,1:10 PM,"['Thursday', 'Friday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,No,Not Sure,No,3,2,4,No,Yes,5,1
40:40.9,Yashoda Roy,2020BTech430,Male,2025,Bhopal,PG,23.237845,77.272041,466001,['Scooty'],15–30 mins,With friends,6:00 PM,2:45 PM,"['Monday', 'Friday', 'Tuesday', 'Thursday']",No,0,None,0.0,0.0,None,None,None,No,Not Sure,No,4,4,4,Not Sure,No,2,1
08:09.7,Andrew Seth,2024BTech964,Male,2025,Bhopal,Hostel,23.16682,77.497498,462030,['Private Bus'],30–45 mins,Alone,8:30 AM,5:55 PM,"['Tuesday', 'Monday', 'Thursday', 'Friday']",Yes,3,"13/078, Misra Chowk, Vijayawada-978474",23.18063,77.49796,Magni soluta vero non officia.,28-09-2024,00:25:08,No,Not Sure,No,1,5,2,No,No,4,1
02:32.4,Dayita Srinivasan,2021BTech214,Male,2023,Sehore,Rented Flat,23.38087,77.061861,462030,"['Monthly Cab', 'Walking', 'Private Bus']",45 mins–1 hour,With friends,4:25 PM,2:45 PM,"['Saturday', 'Friday', 'Tuesday', 'Thursday', 'Monday', 'Wednesday']",Yes,2,"16
Virk Ganj
Khammam-064643",23.36202,77.102241,Alias mollitia sed quasi.,14-08-2024,09:56:08,Not Sure,No,No,2,1,5,No,No,1,1
33:56.2,Warinder Tripathi,2021BTech483,Male,2025,Bhopal,Rented Flat,23.111096,77.217496,462030,"['Scooty', 'Monthly Cab']",30–45 mins,Alone,4:25 PM,4:20 PM,"['Tuesday', 'Saturday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,Yes,Not Sure,No,2,3,4,Yes,Yes,5,1
29:28.0,Ijaya Muni,2023BTech580,Male,2023,Kotri,Rented Flat,23.233142,77.081815,462030,"['Bike', 'Walking']",45 mins–1 hour,With friends,11:40 AM,7:30 PM,"['Monday', 'Thursday', 'Friday', 'Wednesday']",Yes,1,"93/628
Bandi Path
Coimbatore-804714",23.395219,77.046179,Provident ea est modi ratione aliquam.,05-06-2024,01:33:57,Not Sure,No,Yes,2,3,1,No,Yes,2,1
25:44.3,Qasim Mani,2025BTech623,Female,2025,Kotri,PG,23.143381,77.102033,462030,"['Private Bus', 'Scooty', 'Walking']",15–30 mins,With friends,11:40 AM,11:35 AM,"['Monday', 'Friday', 'Tuesday', 'Thursday', 'Wednesday']",Yes,3,"31/486
Mahal Ganj
Gurgaon 843815",23.06264,77.157619,At optio expedita atque facilis temporibus nihil.,03-08-2024,18:54:00,Not Sure,Yes,No,4,2,2,Yes,Yes,4,1
45:58.8,Lipika Puri,2025BTech652,Male,2023,Kotri,Hostel,23.197519,77.237824,462030,"['College Bus', 'Monthly Cab']",45 mins–1 hour,Alone,6:00 PM,10:00 AM,"['Thursday', 'Friday', 'Monday', 'Wednesday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,Not Sure,No,Yes,1,4,5,No,No,4,1
25:17.0,Lajita Kurian,2023BTech205,Other,2025,Kotri,PG,23.233934,77.030822,462030,['Monthly Cab'],15–30 mins,Alone,8:30 AM,2:45 PM,"['Saturday', 'Friday', 'Thursday', 'Tuesday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,Yes,Not Sure,No,5,3,3,Not Sure,No,3,1
18:33.4,Leela Issac,2021BTech220,Other,2025,Bhopal,Rented Flat,23.425161,77.007919,462030,"['College Bus', 'Walking']",15–30 mins,Alone,11:40 AM,5:55 PM,"['Wednesday', 'Monday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Yes,No,4,3,1,Yes,No,4,1
48:06.7,Finn Gulati,2023BTech556,Other,2024,Sehore,Hostel,23.144223,77.440511,462030,"['Scooty', 'College Bus', 'Bike']",45 mins–1 hour,With friends,1:15 PM,5:55 PM,"['Wednesday', 'Saturday', 'Tuesday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Yes,Not Sure,Yes,2,5,2,Not Sure,No,5,1
02:06.7,Wriddhish Seth,2022BTech958,Male,2025,Bhopal,PG,23.302783,77.411076,462030,"['Scooty', 'College Bus']",15–30 mins,Alone,4:25 PM,1:10 PM,"['Tuesday', 'Thursday', 'Wednesday', 'Monday', 'Saturday']",Yes,1,"68, Mammen Nagar
Guna 603780",23.1805,77.257573,Sit modi quis quos.,16-11-2024,12:43:37,Not Sure,Not Sure,Yes,3,1,2,No,Yes,4,1
25:19.0,Veda Karnik,2023BTech540,Male,2024,Bhopal,PG,23.197729,77.306588,466001,"['Scooty', 'Private Bus', 'Bike']",30–45 mins,Alone,4:25 PM,5:55 PM,"['Saturday', 'Wednesday', 'Thursday', 'Friday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,No,Not Sure,Yes,4,4,1,Yes,No,1,1
33:43.9,Megha Nayar,2021BTech730,Other,2025,Sehore,Rented Flat,23.418387,77.483324,466001,['Bike'],15–30 mins,With friends,4:25 PM,5:55 PM,"['Tuesday', 'Thursday', 'Monday', 'Wednesday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Yes,Yes,No,2,2,4,Yes,Yes,3,1
17:43.1,Bahadurjit Soni,2021BTech917,Other,2023,Sehore,Hostel,23.489791,77.356782,462030,"['College Bus', 'Monthly Cab', 'Scooty']",15–30 mins,With friends,6:00 PM,10:00 AM,"['Wednesday', 'Thursday', 'Saturday']",Yes,2,"79/04
Sood Street
Thoothukudi 569627",23.127828,77.023045,Provident sapiente nisi libero molestias blanditiis.,30-08-2024,18:08:15,Not Sure,Yes,No,2,2,4,Not Sure,No,5,1
25:20.9,Dipta Vora,2020BTech897,Male,2023,Kotri,Rented Flat,23.31055,77.272557,466001,"['Private Bus', 'Personal Car']",45 mins–1 hour,With friends,6:00 PM,10:00 AM,"['Tuesday', 'Monday', 'Thursday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,No,Yes,Yes,4,4,1,Yes,Yes,1,1
46:53.5,Fitan Virk,2022BTech590,Other,2025,Bhopal,PG,23.159261,77.043579,466001,"['Monthly Cab', 'College Bus']",15–30 mins,Alone,4:25 PM,11:35 AM,"['Friday', 'Wednesday', 'Thursday']",Yes,1,"H.No. 07
Sharma Zila
Gorakhpur-435168",23.328513,77.366957,Quaerat quas vero laborum.,27-05-2024,04:08:45,No,No,Yes,4,2,4,Yes,Yes,5,1
18:16.9,Ira Dara,2020BTech569,Other,2023,Bhopal,PG,23.219903,77.327679,466001,"['Scooty', 'Personal Car']",15–30 mins,With friends,1:15 PM,10:00 AM,"['Thursday', 'Friday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,No,Not Sure,Yes,5,5,5,Not Sure,No,3,1
03:09.7,Vansha Gole,2020BTech534,Male,2025,Kotri,PG,23.33085,77.258059,462030,"['Monthly Cab', 'Bike']",30–45 mins,With friends,6:00 PM,4:20 PM,"['Thursday', 'Saturday', 'Friday', 'Tuesday']",Yes,3,"H.No. 25, Bora Zila, Tirunelveli 114427",23.335933,77.143929,Distinctio quas sequi cupiditate.,11-10-2024,07:03:23,Yes,Not Sure,No,4,2,5,Not Sure,Yes,4,1
01:58.4,Lakshmi Lall,2024BTech829,Female,2024,Kotri,Hostel,23.258222,77.131207,462030,"['Monthly Cab', 'College Bus']",15–30 mins,With friends,4:25 PM,11:35 AM,"['Saturday', 'Friday', 'Tuesday']",Yes,3,"23/596
Som Street, Ambala-811303",23.019052,77.36558,Earum deserunt expedita ab.,13-10-2024,14:11:19,No,No,Yes,4,4,1,Yes,No,5,1
43:55.8,Mohammed Hegde,2020BTech916,Male,2023,Kotri,Hostel,23.153505,77.265993,462030,"['College Bus', 'Walking']",30–45 mins,With friends,6:00 PM,2:45 PM,"['Thursday', 'Friday', 'Wednesday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Not Sure,Yes,2,2,1,No,Yes,1,1
06:07.8,Pahal Rout,2025BTech613,Other,2023,Kotri,Hostel,23.147316,77.149721,462030,"['Personal Car', 'Private Bus']",15–30 mins,Alone,11:40 AM,11:35 AM,"['Tuesday', 'Monday', 'Saturday', 'Thursday', 'Wednesday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Yes,Yes,Yes,4,5,5,Not Sure,No,1,1
04:35.2,Sara Sarna,2020BTech386,Male,2025,Sehore,Hostel,23.405313,77.090095,462030,"['Scooty', 'Monthly Cab', 'Private Bus']",15–30 mins,With friends,10:05 AM,4:20 PM,"['Wednesday', 'Friday', 'Thursday', 'Tuesday', 'Monday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,No,No,No,4,1,3,No,Yes,2,1
25:34.3,Tripti Lal,2020BTech548,Other,2023,Kotri,Hostel,23.46136,77.441173,462030,['Walking'],15–30 mins,Alone,6:00 PM,11:35 AM,"['Saturday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Yes,No,1,1,1,No,Yes,4,1
50:47.7,Jeet Khosla,2020BTech271,Male,2024,Bhopal,Rented Flat,23.126916,77.200918,462030,"['College Bus', 'Scooty']",15–30 mins,With friends,4:25 PM,7:30 PM,"['Wednesday', 'Monday', 'Thursday', 'Saturday', 'Friday']",Yes,1,"43/287
Sarin Zila
Junagadh 063438",23.306411,77.150593,Itaque enim dolorum rerum.,31-07-2024,06:27:29,No,Yes,Yes,4,1,1,No,No,3,1
45:06.2,Ethan Ganesh,2025BTech321,Female,2025,Bhopal,Hostel,23.222905,77.346067,462030,['Private Bus'],45 mins–1 hour,Alone,2:50 PM,2:45 PM,"['Wednesday', 'Thursday', 'Monday', 'Saturday', 'Tuesday']",Yes,2,"229
Singh Zila, Belgaum-695199",23.023591,77.252597,Asperiores tempora rerum repellat nisi exercitationem dolore.,06-02-2024,03:37:58,No,Yes,Yes,1,4,3,No,No,5,1
59:59.8,Suhani Krish,2024BTech322,Female,2024,Kotri,PG,23.096404,77.171883,466001,"['Scooty', 'Private Bus', 'College Bus']",30–45 mins,Alone,2:50 PM,11:35 AM,"['Friday', 'Wednesday', 'Thursday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Not Sure,Yes,1,1,3,Not Sure,No,3,1
12:42.0,Nachiket Sahota,2025BTech127,Other,2025,Kotri,Hostel,23.407283,77.390404,466001,['Bike'],30–45 mins,With friends,2:50 PM,10:00 AM,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Monday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Yes,Yes,3,5,5,No,No,1,1
11:39.3,Hritik Borah,2021BTech316,Other,2023,Bhopal,Rented Flat,23.205271,77.387641,466001,"['Scooty', 'Personal Car', 'Bike']",30–45 mins,Alone,2:50 PM,4:20 PM,"['Monday', 'Tuesday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,Yes,Not Sure,Yes,4,3,5,Yes,No,2,1
06:13.2,Vansha Mistry,2025BTech207,Male,2025,Sehore,PG,23.231758,77.446737,462030,"['Personal Car', 'Monthly Cab', 'Private Bus']",45 mins–1 hour,With friends,8:30 AM,4:20 PM,"['Thursday', 'Monday', 'Wednesday', 'Tuesday', 'Friday']",Yes,1,"98, Anand Nagar
Bhavnagar 903846",23.08515,77.386262,Fugit fuga repudiandae aperiam eos aperiam voluptatum neque.,01-04-2024,12:09:43,No,Not Sure,Yes,4,2,3,Not Sure,No,5,1
45:14.6,Lajita Puri,2022BTech185,Male,2025,Kotri,PG,23.172529,77.111674,462030,"['Bike', 'Private Bus', 'College Bus']",30–45 mins,With friends,2:50 PM,2:45 PM,"['Monday', 'Thursday', 'Friday', 'Tuesday', 'Saturday', 'Wednesday']",Yes,2,"61/99, Bala
Ongole-748753",23.260105,77.332162,Aliquid vitae incidunt iusto eos nam.,13-07-2024,10:04:11,No,Yes,Yes,2,4,4,Yes,Yes,4,1
22:51.0,Noah Goel,2021BTech123,Other,2025,Kotri,PG,23.434883,77.081426,466001,"['Bike', 'Monthly Cab']",15–30 mins,With friends,1:15 PM,10:00 AM,"['Friday', 'Monday', 'Thursday']",Yes,3,"H.No. 535
Gokhale, Kollam-567566",23.374052,77.489314,Necessitatibus porro exercitationem ut tempore nobis architecto a.,03-02-2024,17:17:04,Not Sure,Yes,Yes,5,4,5,Yes,No,3,1
16:25.2,Akshay Kashyap,2022BTech490,Male,2023,Sehore,PG,23.096463,77.448642,466001,['College Bus'],15–30 mins,With friends,1:15 PM,5:55 PM,"['Tuesday', 'Wednesday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Yes,Not Sure,Yes,5,2,5,Yes,No,3,1
38:39.6,Hemang Sankar,2021BTech923,Male,2025,Bhopal,Rented Flat,23.341674,77.457478,462030,"['Bike', 'Monthly Cab', 'Personal Car']",15–30 mins,Alone,11:40 AM,7:30 PM,"['Thursday', 'Tuesday', 'Saturday', 'Wednesday', 'Monday']",No,0,None,0.0,0.0,None,None,None,Yes,Not Sure,No,1,2,4,No,No,2,1
38:43.7,Krish Kala,2025BTech681,Male,2023,Bhopal,PG,23.46348,77.094248,462030,"['Private Bus', 'College Bus', 'Walking']",15–30 mins,With friends,6:00 PM,11:35 AM,"['Monday', 'Saturday', 'Wednesday', 'Tuesday', 'Friday', 'Thursday']",No,0,None,0.0,0.0,None,None,None,Not Sure,No,No,5,5,4,Yes,Yes,4,1
24:42.3,Abdul Wable,2025BTech536,Male,2025,Sehore,PG,23.266392,77.181393,466001,"['Private Bus', 'Walking']",45 mins–1 hour,Alone,8:30 AM,2:45 PM,"['Friday', 'Saturday', 'Tuesday', 'Thursday', 'Wednesday', 'Monday']",Yes,2,"29, Bedi Road, Fatehpur 139774",23.397683,77.027842,Sit expedita accusantium voluptatem commodi recusandae asperiores reiciendis.,09-08-2024,08:36:50,No,Yes,Yes,4,2,4,No,No,3,1
39:18.4,Chameli Dhaliwal,2023BTech494,Female,2025,Bhopal,Rented Flat,23.38313,77.082105,466001,"['Bike', 'College Bus']",45 mins–1 hour,With friends,11:40 AM,11:35 AM,"['Tuesday', 'Friday', 'Monday', 'Thursday', 'Wednesday', 'Saturday']",Yes,1,"90/389
Iyer Path
Tadipatri-473203",23.166881,77.127138,Velit impedit libero dolore.,16-08-2024,05:44:06,Not Sure,Not Sure,No,5,5,3,Not Sure,Yes,1,1
57:31.3,Abhimanyu Barman,2022BTech925,Other,2025,Bhopal,Hostel,23.380949,77.380198,466001,"['Private Bus', 'Bike', 'Personal Car']",30–45 mins,With friends,6:00 PM,4:20 PM,"['Thursday', 'Tuesday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Yes,Yes,3,5,1,Not Sure,No,2,1
41:31.4,Xavier Sundaram,2025BTech485,Male,2024,Bhopal,PG,23.410968,77.337881,466001,"['Private Bus', 'Scooty']",30–45 mins,With friends,2:50 PM,2:45 PM,"['Wednesday', 'Monday', 'Saturday', 'Friday', 'Tuesday']",Yes,1,"58/59
Dar Nagar, Ramagundam-176956",23.070949,77.065933,Dignissimos esse natus dolore quasi beatae.,20-10-2024,06:24:46,No,Not Sure,Yes,4,1,1,Not Sure,Yes,1,1
11:54.0,Lila Kala,2021BTech201,Other,2023,Bhopal,Hostel,23.33897,77.413127,462030,"['College Bus', 'Walking', 'Bike']",30–45 mins,With friends,4:25 PM,11:35 AM,"['Saturday', 'Friday', 'Monday']",Yes,3,"828
Sekhon Nagar
Tumkur 095753",23.145509,77.26541,Reiciendis quis placeat corporis.,04-02-2024,18:33:58,Not Sure,Not Sure,No,5,1,2,Yes,Yes,1,1
52:59.5,Dev Lal,2024BTech654,Male,2024,Bhopal,Rented Flat,23.380028,77.416563,462030,"['Personal Car', 'Monthly Cab']",30–45 mins,Alone,4:25 PM,4:20 PM,"['Thursday', 'Monday', 'Friday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,Not Sure,No,No,1,1,2,Not Sure,Yes,3,1
06:13.6,Chameli Rai,2025BTech312,Male,2025,Kotri,Hostel,23.226723,77.314546,466001,"['Walking', 'Bike', 'Personal Car']",45 mins–1 hour,With friends,2:50 PM,11:35 AM,"['Wednesday', 'Saturday', 'Thursday', 'Monday']",No,0,None,0.0,0.0,None,None,None,Not Sure,No,No,2,1,2,Not Sure,Yes,1,1
58:51.3,Zaid Dave,2021BTech869,Female,2024,Sehore,Rented Flat,23.146303,77.434871,466001,['Scooty'],45 mins–1 hour,With friends,1:15 PM,5:55 PM,"['Saturday', 'Friday', 'Tuesday', 'Monday', 'Thursday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,Yes,No,Yes,2,2,1,Yes,No,2,1
18:30.9,Krish Hari,2025BTech686,Other,2025,Kotri,Hostel,23.083863,77.332093,462030,"['Walking', 'Personal Car']",45 mins–1 hour,With friends,4:25 PM,5:55 PM,"['Thursday', 'Wednesday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Not Sure,Yes,3,1,3,Yes,No,5,1
41:11.0,Yashawini Dalal,2021BTech611,Male,2023,Bhopal,Hostel,23.446084,77.369824,462030,"['Scooty', 'Private Bus']",15–30 mins,Alone,2:50 PM,11:35 AM,"['Thursday', 'Monday', 'Saturday', 'Wednesday', 'Friday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,Yes,Not Sure,Yes,4,4,3,Yes,Yes,3,1
42:11.9,Anusha Mahal,2024BTech224,Other,2024,Kotri,Rented Flat,23.102028,77.080809,462030,"['Scooty', 'Private Bus', 'Walking']",30–45 mins,Alone,2:50 PM,1:10 PM,"['Thursday', 'Monday', 'Friday']",No,0,None,0.0,0.0,None,None,None,No,Not Sure,No,4,2,2,No,No,4,1
41:26.1,Eiravati Basak,2021BTech220,Other,2025,Sehore,PG,23.167298,77.045018,462030,"['Bike', 'Walking', 'Scooty']",15–30 mins,With friends,6:00 PM,2:45 PM,"['Saturday', 'Friday', 'Monday', 'Thursday', 'Wednesday', 'Tuesday']",Yes,2,"47/467
Comar Ganj, Rewa-596907",23.180916,77.242442,Nostrum reiciendis totam ipsa iure.,20-11-2024,00:42:40,Yes,Not Sure,Yes,1,2,5,Yes,No,3,1
46:29.6,Vritti Subramanian,2022BTech601,Female,2025,Kotri,Rented Flat,23.180258,77.498968,462030,"['Walking', 'Personal Car', 'Bike']",30–45 mins,Alone,1:15 PM,10:00 AM,"['Tuesday', 'Friday', 'Monday']",Yes,2,"H.No. 472
Bhagat Street, Tadipatri 141008",23.284184,77.30337,Blanditiis numquam dolorum labore atque velit adipisci quos.,03-02-2024,05:06:58,Not Sure,Not Sure,No,5,2,3,Not Sure,Yes,2,1
33:43.1,Advay Bhatt,2023BTech515,Female,2024,Bhopal,PG,23.344771,77.43722,462030,['Personal Car'],30–45 mins,With friends,2:50 PM,2:45 PM,"['Wednesday', 'Saturday', 'Tuesday']",Yes,2,"07, Barman Chowk
Maheshtala 322310",23.217372,77.083577,Deserunt accusantium temporibus rem velit iste.,09-03-2024,23:53:21,No,Yes,No,3,1,5,Not Sure,Yes,2,1
38:57.1,Harsh Sengupta,2024BTech112,Other,2023,Sehore,Rented Flat,23.258712,77.188747,466001,"['College Bus', 'Bike']",15–30 mins,With friends,1:15 PM,10:00 AM,"['Tuesday', 'Thursday', 'Wednesday']",Yes,1,"17, Gera Marg
Kolhapur-932087",23.204574,77.366618,Quae itaque dicta ipsum id cupiditate optio.,10-02-2024,19:53:03,Not Sure,Not Sure,Yes,3,4,3,No,Yes,3,1
58:48.0,Zashil Kalita,2022BTech520,Female,2023,Bhopal,PG,23.085962,77.025939,466001,"['Bike', 'College Bus', 'Personal Car']",15–30 mins,With friends,6:00 PM,2:45 PM,"['Saturday', 'Thursday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,No,Yes,No,2,5,5,Yes,No,2,1
46:21.7,Charita Om,2024BTech165,Male,2023,Kotri,Rented Flat,23.330769,77.437826,462030,['Bike'],45 mins–1 hour,With friends,11:40 AM,5:55 PM,"['Thursday', 'Monday', 'Wednesday']",Yes,1,"65/51
Ramaswamy Zila, Jamshedpur-619934",23.430276,77.003106,Accusantium tempore et dolores.,07-02-2024,17:40:16,Not Sure,Not Sure,No,5,4,3,Yes,No,5,1
19:44.3,Devansh Karpe,2022BTech976,Male,2024,Sehore,Hostel,23.467586,77.44641,466001,"['Private Bus', 'Bike']",45 mins–1 hour,With friends,2:50 PM,7:30 PM,"['Saturday', 'Tuesday', 'Wednesday', 'Monday']",No,0,None,0.0,0.0,None,None,None,No,Yes,No,2,4,3,Not Sure,Yes,3,1
51:00.6,Keya Kamdar,2020BTech169,Female,2023,Bhopal,Rented Flat,23.018206,77.052488,466001,"['College Bus', 'Personal Car', 'Walking']",30–45 mins,With friends,8:30 AM,5:55 PM,"['Monday', 'Tuesday', 'Saturday', 'Wednesday', 'Thursday', 'Friday']",Yes,1,"13, Bal Zila
Uluberia-477159",23.296072,77.074391,Id laudantium voluptates blanditiis inventore.,20-10-2024,10:35:16,Yes,No,No,2,1,1,Not Sure,No,3,1
23:39.2,Brijesh Vohra,2024BTech867,Male,2023,Sehore,Rented Flat,23.011469,77.260834,466001,"['College Bus', 'Bike', 'Monthly Cab']",45 mins–1 hour,Alone,8:30 AM,10:00 AM,"['Wednesday', 'Thursday', 'Friday', 'Tuesday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,Yes,No,No,2,2,4,Not Sure,Yes,1,1
