Timestamp,Name,Registration Number,Gender,Batch,Area or Locality Near College,Type of Accommodation,Latitude (Accommodation),Longitude (Accommodation),Pincode,Commute Mode(s),How long is your commute,Do you usually travel alone or with others?,When Do You Leave for College?,When Do You Return Home?,Days of the Week You Commute,Have You Experienced Any Safety Incidents?,How many incidents have you experienced?,Where Did the Incident Happen?,Latitude (Incident),Longitude (Incident),Describe the incident,At which date the incident happen?,At what time the incident happen?,Was there any emergency support available?,Was the area had well lighting?,Were there any witnesses or bystanders present?,How Safe Do You Feel in Your Accommodation?,How Safe Do You Feel During Your Commute?,How likely are you to report an incident?,Do you feel informed about crime prevention strategies?,Do you know how to report safety concerns?,Confidence in staying safe,Has Incident,Encoded_Commute_Mode,Encoded_Accommodation,Leave_Hour,Leave_Day,Risk_Score
35:59.8,Anvi Kala,2024BTech150,Male,2023,Kotri,Hostel,0.13556651074871695,0.00023894286854897473,462030,"['Walking', 'Personal Car']",45 mins–1 hour,Alone,4:25 PM,1:10 PM,"['Thursday', 'Friday', 'Saturday']",No,0,,0.0,0.0,,,,No,Not Sure,No,3,2,4,No,Yes,5,1,152,0,,,1
40:40.9,Yashoda Roy,2020BTech430,Male,2025,Bhopal,PG,0.47543491493928514,0.5434243524949522,466001,['Scooty'],15–30 mins,With friends,6:00 PM,2:45 PM,"['Monday', 'Friday', 'Tuesday', 'Thursday']",No,0,,0.0,0.0,,,,No,Not Sure,No,4,4,4,Not Sure,No,2,1,135,1,,,1
08:09.7,Andrew Seth,2024BTech964,Male,2025,Bhopal,Hostel,0.33321652836959004,0.9961247080981366,462030,['Private Bus'],30–45 mins,Alone,8:30 AM,5:55 PM,"['Tuesday', 'Monday', 'Thursday', 'Friday']",Yes,3,"13/078, Misra Chowk, Vijayawada-978474",0.9865799407872344,0.9999741290205745,Magni soluta vero non officia.,28-09-2024,00:25:08,No,Not Sure,No,1,5,2,No,No,4,1,114,0,,,4
02:32.4,Dayita Srinivasan,2021BTech214,Male,2023,Sehore,Rented Flat,0.7618239996155438,0.12139904061425,462030,"['Monthly Cab', 'Walking', 'Private Bus']",45 mins–1 hour,With friends,4:25 PM,2:45 PM,"['Saturday', 'Friday', 'Tuesday', 'Thursday', 'Monday', 'Wednesday']",Yes,2,"16
Virk Ganj
Khammam-064643",0.9942999956545696,0.9948680751017114,Alias mollitia sed quasi.,14-08-2024,09:56:08,Not Sure,No,No,2,1,5,No,No,1,1,64,2,,,3
33:56.2,Warinder Tripathi,2021BTech483,Male,2025,Bhopal,Rented Flat,0.22163641751834007,0.43390217799435504,462030,"['Scooty', 'Monthly Cab']",30–45 mins,Alone,4:25 PM,4:20 PM,"['Tuesday', 'Saturday', 'Wednesday']",No,0,,0.0,0.0,,,,Yes,Not Sure,No,2,3,4,Yes,Yes,5,1,124,2,,,1
29:28.0,Ijaya Muni,2023BTech580,Male,2023,Kotri,Rented Flat,0.4660177650337971,0.16146514144816138,462030,"['Bike', 'Walking']",45 mins–1 hour,With friends,11:40 AM,7:30 PM,"['Monday', 'Thursday', 'Friday', 'Wednesday']",Yes,1,"93/628
Bandi Path
Coimbatore-804714",0.9957129627505543,0.9941446941298618,Provident ea est modi ratione aliquam.,05-06-2024,01:33:57,Not Sure,No,Yes,2,3,1,No,Yes,2,1,23,2,,,2
25:44.3,Qasim Mani,2025BTech623,Female,2025,Kotri,PG,0.286282959023481,0.20206133402405158,462030,"['Private Bus', 'Scooty', 'Walking']",15–30 mins,With friends,11:40 AM,11:35 AM,"['Monday', 'Friday', 'Tuesday', 'Thursday', 'Wednesday']",Yes,3,"31/486
Mahal Ganj
Gurgaon 843815",0.9815582236374637,0.9955826302631233,At optio expedita atque facilis temporibus nihil.,03-08-2024,18:54:00,Not Sure,Yes,No,4,2,2,Yes,Yes,4,1,109,1,,,4
45:58.8,Lipika Puri,2025BTech652,Male,2023,Kotri,Hostel,0.39468730977476696,0.4747192421294528,462030,"['College Bus', 'Monthly Cab']",45 mins–1 hour,Alone,6:00 PM,10:00 AM,"['Thursday', 'Friday', 'Monday', 'Wednesday', 'Tuesday']",No,0,,0.0,0.0,,,,Not Sure,No,Yes,1,4,5,No,No,4,1,31,0,,,1
25:17.0,Lajita Kurian,2023BTech205,Other,2025,Kotri,PG,0.46760364271297306,0.059075110385578,462030,['Monthly Cab'],15–30 mins,Alone,8:30 AM,2:45 PM,"['Saturday', 'Friday', 'Thursday', 'Tuesday', 'Wednesday']",No,0,,0.0,0.0,,,,Yes,Not Sure,No,5,3,3,Not Sure,No,3,1,66,1,,,1
18:33.4,Leela Issac,2021BTech220,Other,2025,Bhopal,Rented Flat,0.8505110050299507,0.013087643842595753,462030,"['College Bus', 'Walking']",15–30 mins,Alone,11:40 AM,5:55 PM,"['Wednesday', 'Monday', 'Saturday']",No,0,,0.0,0.0,,,,Not Sure,Yes,No,4,3,1,Yes,No,4,1,49,2,,,1
48:06.7,Finn Gulati,2023BTech556,Other,2024,Sehore,Hostel,0.28796895524300226,0.881699184983944,462030,"['Scooty', 'College Bus', 'Bike']",45 mins–1 hour,With friends,1:15 PM,5:55 PM,"['Wednesday', 'Saturday', 'Tuesday', 'Friday']",No,0,,0.0,0.0,,,,Yes,Not Sure,Yes,2,5,2,Not Sure,No,5,1,117,0,,,1
02:06.7,Wriddhish Seth,2022BTech958,Male,2025,Bhopal,PG,0.6054648704065642,0.8225959636726543,462030,"['Scooty', 'College Bus']",15–30 mins,Alone,4:25 PM,1:10 PM,"['Tuesday', 'Thursday', 'Wednesday', 'Monday', 'Saturday']",Yes,1,"68, Mammen Nagar
Guna 603780",0.9865744079180974,0.9968723598778398,Sit modi quis quos.,16-11-2024,12:43:37,Not Sure,Not Sure,Yes,3,1,2,No,Yes,4,1,121,1,,,2
25:19.0,Veda Karnik,2023BTech540,Male,2024,Bhopal,PG,0.39510780764424425,0.6127920775379607,466001,"['Scooty', 'Private Bus', 'Bike']",30–45 mins,Alone,4:25 PM,5:55 PM,"['Saturday', 'Wednesday', 'Thursday', 'Friday', 'Tuesday']",No,0,,0.0,0.0,,,,No,Not Sure,Yes,4,4,1,Yes,No,1,1,129,1,,,1
33:43.9,Megha Nayar,2021BTech730,Other,2025,Sehore,Rented Flat,0.8369469451830938,0.9676644037371318,466001,['Bike'],15–30 mins,With friends,4:25 PM,5:55 PM,"['Tuesday', 'Thursday', 'Monday', 'Wednesday', 'Friday']",No,0,,0.0,0.0,,,,Yes,Yes,No,2,2,4,Yes,Yes,3,1,24,2,,,1
17:43.1,Bahadurjit Soni,2021BTech917,Other,2023,Sehore,Hostel,0.9799242302886597,0.7135777779116381,462030,"['College Bus', 'Monthly Cab', 'Scooty']",15–30 mins,With friends,6:00 PM,10:00 AM,"['Wednesday', 'Thursday', 'Saturday']",Yes,2,"79/04
Sood Street
Thoothukudi 569627",0.9843326595859276,0.9938461907692474,Provident sapiente nisi libero molestias blanditiis.,30-08-2024,18:08:15,Not Sure,Yes,No,2,2,4,Not Sure,No,5,1,30,0,,,3
25:20.9,Dipta Vora,2020BTech897,Male,2023,Kotri,Rented Flat,0.6210172844647985,0.5444604408997975,466001,"['Private Bus', 'Personal Car']",45 mins–1 hour,With friends,6:00 PM,10:00 AM,"['Tuesday', 'Monday', 'Thursday', 'Wednesday']",No,0,,0.0,0.0,,,,No,Yes,Yes,4,4,1,Yes,Yes,1,1,104,2,,,1
46:53.5,Fitan Virk,2022BTech590,Other,2025,Bhopal,PG,0.31808060743920663,0.0846901874797652,466001,"['Monthly Cab', 'College Bus']",15–30 mins,Alone,4:25 PM,11:35 AM,"['Friday', 'Wednesday', 'Thursday']",Yes,1,"H.No. 07
Sharma Zila
Gorakhpur-435168",0.9928739199147836,0.9982837669668625,Quaerat quas vero laborum.,27-05-2024,04:08:45,No,No,Yes,4,2,4,Yes,Yes,5,1,55,1,,,2
18:16.9,Ira Dara,2020BTech569,Other,2023,Bhopal,PG,0.4395083779194522,0.6551411871244,466001,"['Scooty', 'Personal Car']",15–30 mins,With friends,1:15 PM,10:00 AM,"['Thursday', 'Friday', 'Tuesday']",No,0,,0.0,0.0,,,,No,Not Sure,Yes,5,5,5,Not Sure,No,3,1,128,1,,,1
03:09.7,Vansha Gole,2020BTech534,Male,2025,Kotri,PG,0.6616654118476291,0.5153495694008541,462030,"['Monthly Cab', 'Bike']",30–45 mins,With friends,6:00 PM,4:20 PM,"['Thursday', 'Saturday', 'Friday', 'Tuesday']",Yes,3,"H.No. 25, Bora Zila, Tirunelveli 114427",0.9931897190609086,0.9954059850220578,Distinctio quas sequi cupiditate.,11-10-2024,07:03:23,Yes,Not Sure,No,4,2,5,Not Sure,Yes,4,1,51,1,,,4
01:58.4,Lakshmi Lall,2024BTech829,Female,2024,Kotri,Hostel,0.5162372248742457,0.2606404873631334,462030,"['Monthly Cab', 'College Bus']",15–30 mins,With friends,4:25 PM,11:35 AM,"['Saturday', 'Friday', 'Tuesday']",Yes,3,"23/596
Som Street, Ambala-811303",0.9797030951763721,0.9982659992169027,Earum deserunt expedita ab.,13-10-2024,14:11:19,No,No,Yes,4,4,1,Yes,No,5,1,55,0,,,4
43:55.8,Mohammed Hegde,2020BTech916,Male,2023,Kotri,Hostel,0.3065549610739069,0.531280432586982,462030,"['College Bus', 'Walking']",30–45 mins,With friends,6:00 PM,2:45 PM,"['Thursday', 'Friday', 'Wednesday', 'Saturday']",No,0,,0.0,0.0,,,,Not Sure,Not Sure,Yes,2,2,1,No,Yes,1,1,49,0,,,1
06:07.8,Pahal Rout,2025BTech613,Other,2023,Kotri,Hostel,0.2941622881491668,0.2978151786951173,462030,"['Personal Car', 'Private Bus']",15–30 mins,Alone,11:40 AM,11:35 AM,"['Tuesday', 'Monday', 'Saturday', 'Thursday', 'Wednesday', 'Friday']",No,0,,0.0,0.0,,,,Yes,Yes,Yes,4,5,5,Not Sure,No,1,1,80,0,,,1
04:35.2,Sara Sarna,2020BTech386,Male,2025,Sehore,Hostel,0.8107679492519111,0.1780907460840524,462030,"['Scooty', 'Monthly Cab', 'Private Bus']",15–30 mins,With friends,10:05 AM,4:20 PM,"['Wednesday', 'Friday', 'Thursday', 'Tuesday', 'Monday', 'Saturday']",No,0,,0.0,0.0,,,,No,No,No,4,1,3,No,Yes,2,1,122,0,,,1
25:34.3,Tripti Lal,2020BTech548,Other,2023,Kotri,Hostel,0.922994825873829,0.8830284301855329,462030,['Walking'],15–30 mins,Alone,6:00 PM,11:35 AM,"['Saturday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday']",No,0,,0.0,0.0,,,,Not Sure,Yes,No,1,1,1,No,Yes,4,1,162,0,,,1
50:47.7,Jeet Khosla,2020BTech271,Male,2024,Bhopal,Rented Flat,0.25331392368563854,0.40061482610380494,462030,"['College Bus', 'Scooty']",15–30 mins,With friends,4:25 PM,7:30 PM,"['Wednesday', 'Monday', 'Thursday', 'Saturday', 'Friday']",Yes,1,"43/287
Sarin Zila
Junagadh 063438",0.9919332470404363,0.9954919721576648,Itaque enim dolorum rerum.,31-07-2024,06:27:29,No,Yes,Yes,4,1,1,No,No,3,1,44,2,,,2
45:06.2,Ethan Ganesh,2025BTech321,Female,2025,Bhopal,Hostel,0.4455194950821735,0.6920628801249791,462030,['Private Bus'],45 mins–1 hour,Alone,2:50 PM,2:45 PM,"['Wednesday', 'Thursday', 'Monday', 'Saturday', 'Tuesday']",Yes,2,"229
Singh Zila, Belgaum-695199",0.9798962774303158,0.9968081533972305,Asperiores tempora rerum repellat nisi exercitationem dolore.,06-02-2024,03:37:58,No,Yes,Yes,1,4,3,No,No,5,1,114,0,,,3
59:59.8,Suhani Krish,2024BTech322,Female,2024,Kotri,PG,0.19221758562137126,0.3423147740985826,466001,"['Scooty', 'Private Bus', 'College Bus']",30–45 mins,Alone,2:50 PM,11:35 AM,"['Friday', 'Wednesday', 'Thursday']",No,0,,0.0,0.0,,,,Not Sure,Not Sure,Yes,1,1,3,Not Sure,No,3,1,130,1,,,1
12:42.0,Nachiket Sahota,2025BTech127,Other,2025,Kotri,Hostel,0.8147126197417691,0.7810881739343642,466001,['Bike'],30–45 mins,With friends,2:50 PM,10:00 AM,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Monday', 'Tuesday']",No,0,,0.0,0.0,,,,Not Sure,Yes,Yes,3,5,5,No,No,1,1,24,0,,,1
11:39.3,Hritik Borah,2021BTech316,Other,2023,Bhopal,Rented Flat,0.41020968827091053,0.7755402819526012,466001,"['Scooty', 'Personal Car', 'Bike']",30–45 mins,Alone,2:50 PM,4:20 PM,"['Monday', 'Tuesday', 'Saturday']",No,0,,0.0,0.0,,,,Yes,Not Sure,Yes,4,3,5,Yes,No,2,1,125,2,,,1
06:13.2,Vansha Mistry,2025BTech207,Male,2025,Sehore,PG,0.46324648383685485,0.8942005152331092,462030,"['Personal Car', 'Monthly Cab', 'Private Bus']",45 mins–1 hour,With friends,8:30 AM,4:20 PM,"['Thursday', 'Monday', 'Wednesday', 'Tuesday', 'Friday']",Yes,1,"98, Anand Nagar
Bhavnagar 903846",0.9825162612087947,0.9985328638535514,Fugit fuga repudiandae aperiam eos aperiam voluptatum neque.,01-04-2024,12:09:43,No,Not Sure,Yes,4,2,3,Not Sure,No,5,1,75,1,,,2
45:14.6,Lajita Puri,2022BTech185,Male,2025,Kotri,PG,0.3446480633069555,0.22141972222388517,462030,"['Bike', 'Private Bus', 'College Bus']",30–45 mins,With friends,2:50 PM,2:45 PM,"['Monday', 'Thursday', 'Friday', 'Tuesday', 'Saturday', 'Wednesday']",Yes,2,"61/99, Bala
Ongole-748753",0.9899624390538503,0.9978347990221672,Aliquid vitae incidunt iusto eos nam.,13-07-2024,10:04:11,No,Yes,Yes,2,4,4,Yes,Yes,4,1,12,1,,,3
22:51.0,Noah Goel,2021BTech123,Other,2025,Kotri,PG,0.8699780540159523,0.1606840592979779,466001,"['Bike', 'Monthly Cab']",15–30 mins,With friends,1:15 PM,10:00 AM,"['Friday', 'Monday', 'Thursday']",Yes,3,"H.No. 535
Gokhale, Kollam-567566",0.9948120839734613,0.9998625676798691,Necessitatibus porro exercitationem ut tempore nobis architecto a.,03-02-2024,17:17:04,Not Sure,Yes,Yes,5,4,5,Yes,No,3,1,8,1,,,4
16:25.2,Akshay Kashyap,2022BTech490,Male,2023,Sehore,PG,0.19233572549898525,0.8980256090533487,466001,['College Bus'],15–30 mins,With friends,1:15 PM,5:55 PM,"['Tuesday', 'Wednesday', 'Friday']",No,0,,0.0,0.0,,,,Yes,Not Sure,Yes,5,2,5,Yes,No,3,1,50,1,,,1
38:39.6,Hemang Sankar,2021BTech923,Male,2025,Bhopal,Rented Flat,0.6833390734629816,0.9157676190246775,462030,"['Bike', 'Monthly Cab', 'Personal Car']",15–30 mins,Alone,11:40 AM,7:30 PM,"['Thursday', 'Tuesday', 'Saturday', 'Wednesday', 'Monday']",No,0,,0.0,0.0,,,,Yes,Not Sure,No,1,2,4,No,No,2,1,5,2,,,1
38:43.7,Krish Kala,2025BTech681,Male,2023,Bhopal,PG,0.9272398519847513,0.18642965140440992,462030,"['Private Bus', 'College Bus', 'Walking']",15–30 mins,With friends,6:00 PM,11:35 AM,"['Monday', 'Saturday', 'Wednesday', 'Tuesday', 'Friday', 'Thursday']",No,0,,0.0,0.0,,,,Not Sure,No,No,5,5,4,Yes,Yes,4,1,96,1,,,1
24:42.3,Abdul Wable,2025BTech536,Male,2025,Sehore,PG,0.5325965943677247,0.36141012435066955,466001,"['Private Bus', 'Walking']",45 mins–1 hour,Alone,8:30 AM,2:45 PM,"['Friday', 'Saturday', 'Tuesday', 'Thursday', 'Wednesday', 'Monday']",Yes,2,"29, Bedi Road, Fatehpur 139774",0.9958178319009656,0.9939080875713945,Sit expedita accusantium voluptatem commodi recusandae asperiores reiciendis.,09-08-2024,08:36:50,No,Yes,Yes,4,2,4,No,No,3,1,113,1,,,3
39:18.4,Chameli Dhaliwal,2023BTech494,Female,2025,Bhopal,Rented Flat,0.7663493576394416,0.1620474391950495,466001,"['Bike', 'College Bus']",45 mins–1 hour,With friends,11:40 AM,11:35 AM,"['Tuesday', 'Friday', 'Monday', 'Thursday', 'Wednesday', 'Saturday']",Yes,1,"90/389
Iyer Path
Tadipatri-473203",0.9859947760352029,0.995189326859696,Velit impedit libero dolore.,16-08-2024,05:44:06,Not Sure,Not Sure,No,5,5,3,Not Sure,Yes,1,1,3,2,,,2
57:31.3,Abhimanyu Barman,2022BTech925,Other,2025,Bhopal,Hostel,0.7619821869093002,0.7605953090896662,466001,"['Private Bus', 'Bike', 'Personal Car']",30–45 mins,With friends,6:00 PM,4:20 PM,"['Thursday', 'Tuesday', 'Saturday']",No,0,,0.0,0.0,,,,Not Sure,Yes,Yes,3,5,1,Not Sure,No,2,1,92,0,,,1
41:31.4,Xavier Sundaram,2025BTech485,Male,2024,Bhopal,PG,0.8220913561657,0.6756260202760132,466001,"['Private Bus', 'Scooty']",30–45 mins,With friends,2:50 PM,2:45 PM,"['Wednesday', 'Monday', 'Saturday', 'Friday', 'Tuesday']",Yes,1,"58/59
Dar Nagar, Ramagundam-176956",0.9819118590963793,0.9943995845675543,Dignissimos esse natus dolore quasi beatae.,20-10-2024,06:24:46,No,Not Sure,Yes,4,1,1,Not Sure,Yes,1,1,110,1,,,2
11:54.0,Lila Kala,2021BTech201,Other,2023,Bhopal,Hostel,0.6779246628007485,0.8267142142895807,462030,"['College Bus', 'Walking', 'Bike']",30–45 mins,With friends,4:25 PM,11:35 AM,"['Saturday', 'Friday', 'Monday']",Yes,3,"828
Sekhon Nagar
Tumkur 095753",0.9850851723490863,0.9969734825041534,Reiciendis quis placeat corporis.,04-02-2024,18:33:58,Not Sure,Not Sure,No,5,1,2,Yes,Yes,1,1,45,0,,,4
52:59.5,Dev Lal,2024BTech654,Male,2024,Bhopal,Rented Flat,0.7601380033960154,0.8336134386288165,462030,"['Personal Car', 'Monthly Cab']",30–45 mins,Alone,4:25 PM,4:20 PM,"['Thursday', 'Monday', 'Friday', 'Tuesday']",No,0,,0.0,0.0,,,,Not Sure,No,No,1,1,2,Not Sure,Yes,3,1,76,2,,,1
06:13.6,Chameli Rai,2025BTech312,Male,2025,Kotri,Hostel,0.4531645468234373,0.6287711308824839,466001,"['Walking', 'Bike', 'Personal Car']",45 mins–1 hour,With friends,2:50 PM,11:35 AM,"['Wednesday', 'Saturday', 'Thursday', 'Monday']",No,0,,0.0,0.0,,,,Not Sure,No,No,2,1,2,Not Sure,Yes,1,1,137,0,,,1
58:51.3,Zaid Dave,2021BTech869,Female,2024,Sehore,Rented Flat,0.29213388652163985,0.8703744977682106,466001,['Scooty'],45 mins–1 hour,With friends,1:15 PM,5:55 PM,"['Saturday', 'Friday', 'Tuesday', 'Monday', 'Thursday', 'Wednesday']",No,0,,0.0,0.0,,,,Yes,No,Yes,2,2,1,Yes,No,2,1,135,2,,,1
18:30.9,Krish Hari,2025BTech686,Other,2025,Kotri,Hostel,0.1671058533303409,0.6640041604169937,462030,"['Walking', 'Personal Car']",45 mins–1 hour,With friends,4:25 PM,5:55 PM,"['Thursday', 'Wednesday', 'Friday']",No,0,,0.0,0.0,,,,Not Sure,Not Sure,Yes,3,1,3,Yes,No,5,1,152,0,,,1
41:11.0,Yashawini Dalal,2021BTech611,Male,2023,Bhopal,Hostel,0.8924066094255565,0.7397651131364285,462030,"['Scooty', 'Private Bus']",15–30 mins,Alone,2:50 PM,11:35 AM,"['Thursday', 'Monday', 'Saturday', 'Wednesday', 'Friday', 'Tuesday']",No,0,,0.0,0.0,,,,Yes,Not Sure,Yes,4,4,3,Yes,Yes,3,1,132,0,,,1
42:11.9,Anusha Mahal,2024BTech224,Other,2024,Kotri,Rented Flat,0.20347891904013693,0.15944517064335173,462030,"['Scooty', 'Private Bus', 'Walking']",30–45 mins,Alone,2:50 PM,1:10 PM,"['Thursday', 'Monday', 'Friday']",No,0,,0.0,0.0,,,,No,Not Sure,No,4,2,2,No,No,4,1,131,2,,,1
41:26.1,Eiravati Basak,2021BTech220,Other,2025,Sehore,PG,0.33417366161534545,0.08757958905840724,462030,"['Bike', 'Walking', 'Scooty']",15–30 mins,With friends,6:00 PM,2:45 PM,"['Saturday', 'Friday', 'Monday', 'Thursday', 'Wednesday', 'Tuesday']",Yes,2,"47/467
Comar Ganj, Rewa-596907",0.9865921130993357,0.9966771210799901,Nostrum reiciendis totam ipsa iure.,20-11-2024,00:42:40,Yes,Not Sure,Yes,1,2,5,Yes,No,3,1,22,1,,,3
46:29.6,Vritti Subramanian,2022BTech601,Female,2025,Kotri,Rented Flat,0.36012438727452434,0.9990763552980297,462030,"['Walking', 'Personal Car', 'Bike']",30–45 mins,Alone,1:15 PM,10:00 AM,"['Tuesday', 'Friday', 'Monday']",Yes,2,"H.No. 472
Bhagat Street, Tadipatri 141008",0.9909872540996112,0.9974632891769694,Blanditiis numquam dolorum labore atque velit adipisci quos.,03-02-2024,05:06:58,Not Sure,Not Sure,No,5,2,3,Not Sure,Yes,2,1,148,2,,,3
33:43.1,Advay Bhatt,2023BTech515,Female,2024,Bhopal,PG,0.6895404158523704,0.8750911095181664,462030,['Personal Car'],30–45 mins,With friends,2:50 PM,2:45 PM,"['Wednesday', 'Saturday', 'Tuesday']",Yes,2,"07, Barman Chowk
Maheshtala 322310",0.9881436998474672,0.9946272491864997,Deserunt accusantium temporibus rem velit iste.,09-03-2024,23:53:21,No,Yes,No,3,1,5,Not Sure,Yes,2,1,89,1,,,3
